Game,CPU,GPU,RAM,File Size
House Flipper 2,Intel Core i5-8400  / Ryzen 5 1600,NVIDIA GeForce GTX 970  / Radeon RX 580,8 GB,20 GB
Green Hell,Intel Core 2 Duo E8700,AMD Radeon RX 460,4 GB,8 GB
GIRLS' FRONTLINE 2: EXILIUM,Intel Core i5-12400T,AMD Radeon HD 7790,8 GB,35 GB
resident evil 4 / biohazard 4,Intel Core 2 Duo E4600,ATI Radeon HD 4850,2 GB,15 GB
Aloft,Intel Core i5-8600K,Unknown,16 GB,12 GB
DRAGON BALL FighterZ,Intel Core i5-3470,AMD Radeon HD 6870,4 GB,6 GB
X-Plane 12,Intel Core i5-12400T,Unknown,8 GB,23 GB
That's not my Neighbor,Intel Core i5-1300F,Unknown,2 GB,500 MB
Marvel's Guardians of the Galaxy,Intel Core i5-4460  / Ryzen 5 1400,NVIDIA GeForce GTX 1060  / Radeon RX 570,8 GB,80 GB
コイカツ！ / Koikatsu Party,Intel Core i3-2340UE,NVIDIA GeForce 8500 GT,4 GB,20 GB
Hello Neighbor,Intel Core i5-12400T,NVIDIA GeForce GTX 770,6 GB,5 GB
WWE 2K23,Intel Core i5-3550,AMD Radeon RX 480,8 GB,80 GB
Marvels Avengers,Intel Core i3-4160,NVIDIA GeForce GTX 950,8 GB,75 GB
Senua’s Saga: Hellblade II,Intel Core i5-8400  / Ryzen 5 2600,NVIDIA GeForce GTX 1070  / Arc A580 / Radeon RX 5700,16 GB,70 GB
Starcraft 2,Intel Core 2 Duo U7600,AMD Radeon HD 2600 XT,2 GB,30 GB
Star Wars: The Old Republic,AMD Athlon 64 X2 4000+,NVIDIA GeForce GT 610,2 GB,50 GB
World of Warcraft: Classic,Intel Core 2 Duo E6600,AMD Radeon HD 4850 X2,2 GB,5 GB
Need for Speed Hot Pursuit Remastered,Intel Core i3-2120,NVIDIA GeForce GTS 450,8 GB,45 GB
Supermarket Simulator,Intel Core i5-3550  / Ryzen 5 2500X,NVIDIA GeForce GTX 1050  / Radeon R9 270X,4 GB,5 GB
World of Warships,AMD Athlon II X2 215,AMD Radeon HD 4650,2 GB,35 GB
Mini Royale,Intel Core i5-1300F,NVIDIA GeForce GTX 760,8 GB,20 GB
House Flipper,AMD Phenom II X4 955,NVIDIA GeForce GTX 560,4 GB,6 GB
Crime Scene Cleaner,Intel Core i5-7500,NVIDIA GeForce GTX 1060,16 GB,35 GB
Dredge,Intel Core i3-2100,AMD Radeon HD 6570,4 GB,2 GB
Backrooms: Escape Together,Intel Core i5-4430,NVIDIA GeForce GTX 960,4 GB,15 GB
Black Mesa,Intel Core 2 Duo Q6867,AMD Radeon HD 5450,6 GB,20 GB
Dishonored Definitive Edition,Intel Core 2 Duo Q6867,ATI Radeon HD 5850,3 GB,9 GB
WRC,Intel Core i5-9600K,AMD Radeon RX Vega 56,8 GB,110 GB
SCP: Pandemic,Intel Core i5-1300F,AMD Radeon R5 M230,12 GB,30 GB
Suicide Squad: Kill the Justice League,Intel Core i5-8400,NVIDIA GeForce GTX 1070,16 GB,65 GB
The Walking Dead,Intel Pentium 4 2.00GHz,NVIDIA GeForce 7200 GS,3 GB,2 GB
Vampyr,Intel Core i3-2130,AMD Radeon R7 370,8 GB,20 GB
"Warhammer 40,000: Space Marine",Intel Core 2 Duo E8400,NVIDIA GeForce 8800 GT,1 GB,20 GB
Bus Simulator 21,Intel Core i3-2120,Unknown,8 GB,18 GB
Welcome to the Game,Intel Pentium 4 4.00GHz,ATI FireGL V7350,2 GB,3 GB
Manual,Intel Core i5-1300F,NVIDIA GeForce 9800 GT,4 GB,Unknown
Game Pass,Intel Core i5-8300H,NVIDIA GeForce GTX 1050,8 GB,150 GB
Brawlhalla,Intel Core 2 Duo E8400,Intel HD 3000,1 GB,350 MB
Total War: ROME II - Emperor Edition,Intel Core 2 Duo T5750,NVIDIA GeForce 7200 GS,2 GB,35 GB
Kenshi,Intel Core 2 Duo U7600,NVIDIA GeForce 510,6 GB,14 GB
HASTE: Broken Worlds,Intel Core i5-2400,Unknown,8 GB,4 GB
Last Epoch,Intel Core i5-2500  / FX-4350,NVIDIA GeForce GTX 1060  / Radeon RX 580,8 GB,22 GB
TCG Card Shop Simulator,Intel Core i5-3550,NVIDIA GeForce GTX 1050,8 GB,5 GB
Icarus,Intel Core i5-8400,NVIDIA GeForce GTX 1060,16 GB,70 GB
Fishing Planet,Intel Core 2 Duo Q6867,Intel HD 4600,4 GB,12 GB
Assetto Corsa Competizione,Intel Core i5-4460,AMD Radeon RX 460,4 GB,50 GB
Frostpunk,Intel Core 2 Duo E8700,AMD Radeon R7 370,4 GB,8 GB
Total War: WARHAMMER II,Intel Core 2 Duo E8400,ATI Radeon HD 5770,5 GB,60 GB
Gorilla Tag,Intel Core i5-4590,Unknown,4 GB,140 MB
