Game,CPU,GPU,RAM,File Size
Neverwinter,Intel Core i5-2400,ATI Radeon HD 5870,4 GB,23 GB
Stay Out,Unknown,Unknown,Unknown,Unknown
Orcs Must Die! Deathtrap,Intel Core i7-3820,Unknown,16 GB,15 GB
DC Universe Online,Unknown,Unknown,Unknown,Unknown
Undawn,Intel Core i7-8700,NVIDIA GeForce RTX 2060,16 GB,20 GB
Evil Genius 2: World Domination,Intel Core i7-4770K,AMD Radeon RX 5700,8 GB,18 GB
Norland,Intel Core i5-1300F,NVIDIA GeForce GTX 1660,8 GB,1 GB
Train Simulator 2020,Intel Core i5-4690,Unknown,16 GB,40 GB
Starship Troopers: Extermination,Intel Core i7-8700K,Unknown,16 GB,20 GB
ACE COMBAT 7: SKIES UNKNOWN,Intel Core i5-7500,NVIDIA GeForce GTX 1060 3GB,8 GB,50 GB
Blasphemous 2,Intel Core i3-550,Unknown,6 GB,4 GB
Yakuza Kiwami 2,Intel Core i7-6700,AMD Radeon RX Vega 56,16 GB,42 GB
KINGDOM HEARTS III + Re Mind (DLC),Intel Core i5-7500,NVIDIA GeForce GTX 1070,16 GB,75 GB
Bully: Scholarship Edition,Unknown,Unknown,Unknown,Unknown
Stranded Deep,Intel Core 2 Duo E8400,NVIDIA GeForce GT 520,4 GB,1 GB
GoreBox,Unknown,Unknown,Unknown,Unknown
Metro: Last Light Redux,Intel Core 2 Quad Q9650,NVIDIA GeForce GTX 480,4 GB,10 GB
Subverse,Intel Core i9-9900K,AMD Radeon RX 6700,16 GB,40 GB
Way of the Hunter,Intel Core 2 Duo E8400,NVIDIA GeForce RTX 2070,16 GB,19 GB
Tomb Raider I-III Remastered,Unknown,Unknown,Unknown,Unknown
Alien: Isolation,Intel Core 2 Quad Q9650,NVIDIA GeForce GTX 660,8 GB,35 GB
Monster Hunter Stories 2: Wings of Ruin,Intel Core i5-4460,AMD Radeon RX 560,8 GB,28 GB
Police Simulator: Patrol Officers,Intel Core i7-4790,NVIDIA GeForce GTX 1060,16 GB,12 GB
THE KING OF FIGHTERS XV,Intel Core i7-610,Unknown,16 GB,65 GB
Fae Farm,AMD FX-6300,Unknown,8 GB,5 GB
LEGO City Undercover,Intel Core i7-950,AMD Radeon HD 7850,4 GB,18 GB
MudRunner,Intel Core 2 Duo Q6867,NVIDIA GeForce GTX 470,4 GB,1 GB
Ultimate Epic Battle Simulator 2,Intel Core i5-6600,AMD Radeon R7 A10-7850K,16 GB,20 GB
Assassin's Creed Revelations,Intel Core 2 Duo E6700,NVIDIA GeForce 7200 GS,4 GB,12 GB
NBA 2K20,Intel Core i5-4430,NVIDIA GeForce GTX 770,8 GB,80 GB
SIGNALIS,Intel Core i5-3470,Unknown,4 GB,2 GB
Saints Row 3,Intel Core i5-750,NVIDIA GeForce 8500 GT,4 GB,10 GB
LEGO MARVEL's Avengers,Intel Core i5-4400E,ATI Radeon HD 5850,4 GB,14 GB
We Were Here,Intel Core i5-4460,NVIDIA GeForce GTX 960,8 GB,3 GB
Vigor,Intel Core i7-8700K,Unknown,16 GB,18 GB
METAL GEAR SOLID 3: Snake Eater - Master Collection Version,Intel Core i5-7600,NVIDIA GeForce GTX 980,16 GB,15 GB
1000xRESIST,Intel Core i7-610,NVIDIA GeForce GTX 1060,16 GB,Unknown
RIDE 4,Intel Core i7-5820K,AMD Radeon RX 580,16 GB,43 GB
BIGFOOT,Intel Core i7-610,NVIDIA GeForce GTX 980,4 GB,10 GB
Attack on Titan 2 - A.O.T.2 - 進撃の巨人２,Intel Core i7-3770,NVIDIA GeForce GTX 960,8 GB,30 GB
"The Legend of Heroes: Kai no Kiseki -Farewell, O Zemuria-",Unknown,Unknown,Unknown,Unknown
Hard Bullet,Intel Core i7-10700,Unknown,16 GB,20 GB
Wolfenstein: The Old Blood,AMD FX-8350,Unknown,8 GB,38 GB
DEATHLOOP,AMD Ryzen 7 2700X,NVIDIA GeForce RTX 2060,16 GB,30 GB
Sonic Generations Collection,Intel Core i5-1300F,ATI Radeon HD 5850,3 GB,11 GB
NBA 2K19,Intel Core i5-4430,NVIDIA GeForce GTX 770,8 GB,80 GB
Tennis Elbow 4,Intel Core i5-1300F,AMD Radeon R9 390,6 GB,4 GB
Bendy and the Ink Machine,Unknown,Unknown,Unknown,Unknown
Far Cry,Intel Core 2 Duo E8400,AMD Radeon 9500,1 GB,Unknown
Pioneers of Pagonia,Intel Core i5-12400T,Unknown,16 GB,5 GB
Bendy and the Dark Revival,Intel Core 2 Duo E8400,Unknown,16 GB,15 GB
Visions of Mana,Intel Core i5-8500,Unknown,16 GB,45 GB
The Last Stand: Aftermath,Intel Core i7-10700K,NVIDIA GeForce GTX 1080,8 GB,5 GB
RAGE 2,Intel Core i7-4770,NVIDIA GeForce GTX 1070,8 GB,50 GB
Burnout Paradise Remastered,Intel Core i5-3570K,NVIDIA GeForce GTX 750 Ti,8 GB,8 GB
The Walking Dead: A New Frontier,Unknown,Unknown,Unknown,Unknown
